"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NEPSE","2021-06-28","2898.42","2901.99","2861.55","2871.6969","0.15 %","7,725,594,965.50","-"
"NEPSE","2021-06-29","2880.34","2890.16","2823.21","2828","-1.65 %","6,726,361,869.27","-"
"NEPSE","2021-06-30","2835.67","2844.19","2782.01","2823.88","-1.00 %","5,838,551,435.49","-"
"NEPSE","2021-07-01","2833.5571","2867.2519","2831.1066","2843","0.68 %","6,707,775,484.14","-"
"NEPSE","2021-07-04","2852.24","2857.83","2831.95","2834.52","-0.30 %","5,053,538,256.95","-"
"NEPSE","2021-07-05","2845.5051","2847.4319","2814.3337","2822.74","-0.42 %","4,582,212,578.61","-"
"NEPSE","2021-07-06","2829.98","2835.31","2812.96","2818.11","-0.19 %","4,224,018,255.09","-"
"NEPSE","2021-07-07","2815.49","2826.41","2793.9","2801.13","-0.60 %","4,585,861,976.21","-"
"NEPSE","2021-07-08","2815.29","2832.73","2793.23","2825.11","0.86 %","4,815,520,294.15","-"
"NEPSE","2021-07-11","2845.43","2900.18","2845.15","2899.82","2.58 %","8,061,382,496.39","-"
"NEPSE","2021-07-12","2915.58","2930.41","2842.3","2854.84","-1.55 %","9,980,026,526.96","-"
"NEPSE","2021-07-13","2867.16","2884.75","2846.78","2871.03","0.57 %","5,546,356,224.10","-"
"NEPSE","2021-07-14","2882.07","2883.25","2857.63","2872.05","0.04 %","5,654,576,205.11","-"
"NEPSE","2021-07-15","2885.4","2890.34","2876.85","2883.38","0.24 %","8,143,614,302.19","-"
"NEPSE","2021-07-18","2892.47","2980.61","2892.31","2980.61","3.26 %","11,638,126,492.62","-"
"NEPSE","2021-07-19","3003.47","3032.84","2981.92","2994.42","0.33 %","11,813,754,606.60","-"
"NEPSE","2021-07-22","2990.9","3018.76","2987.29","3004.33","0.63 %","11,114,121,615.71","-"
"NEPSE","2021-07-25","3017.56","3058.85","3017.51","3058.64","1.81 %","14,232,417,472.15","-"
"NEPSE","2021-07-26","3072.93","3076.13","3041.81","3050.43","-0.36 %","14,139,785,431.16","-"
"NEPSE","2021-07-27","3030.5073","3085.8054","2999.2","3076.3728","0.89 %","14,711,703,854.50","-"
"NEPSE","2021-07-28","3088.45","3113.59","3075.93","3094.95","0.18 %","13,291,954,535.44","-"
"NEPSE","2021-07-29","3103.53","3107.91","3076.39","3079.82","-0.56 %","10,905,830,064.17","-"
"NEPSE","2021-08-01","3088.45","3099.13","3075.54","3081.07","0.03 %","12,103,871,861.91","-"
"NEPSE","2021-08-02","3087.91","3101.3","3079.04","3085.07","0.13 %","10,983,682,606.43","-"
"NEPSE","2021-08-03","3094.24","3111.16","3091.92","3111.09","0.00 %","11,529,217,774.66","-"
"NEPSE","2021-08-04","3126.99","3140.38","3120.78","3123.15","0.32 %","15,595,794,271.04","-"
"NEPSE","2021-08-05","3130.54","3138.61","3101.79","3107.45","-0.50 %","14,316,249,964.69","-"
"NEPSE","2021-08-08","3117.03","3121.43","3099.07","3108.13","-0.05 %","14,308,136,886.78","-"
"NEPSE","2021-08-09","3113.95","3122.56","3098.6","3109.6","-0.02 %","14,137,338,880.86","-"
"NEPSE","2021-08-10","3120.3","3164.61","3114.06","3161.56","1.63 %","17,846,147,278.60","-"
"NEPSE","2021-08-11","3172.54","3198.26","3158.17","3162.41","-0.06 %","15,455,941,753.79","-"
"NEPSE","2021-08-12","3172.75","3189.66","3166.68","3178.91","0.43 %","17,513,276,115.01","-"
"NEPSE","2021-08-15","3170.6536","3187.48","3104.86","3154.34","-0.77 %","21,647,600,654.50","-"
"NEPSE","2021-08-16","3165.09","3171.2","3136.47","3160.09","-0.17 %","15,930,897,937.50","-"
"NEPSE","2021-08-17","3165.69","3177.14","3154.76","3160.32","-0.12 %","18,204,939,237.00","-"
"NEPSE","2021-08-18","3172.3","3220.86","3153.42","3198.19","0.99 %","21,313,489,269.00","-"
"NEPSE","2021-08-19","3208.5308","3227.11","3178.25","3180.86","-0.56 %","20,499,210,766.50","-"
"NEPSE","2021-08-24","3186.47","3188.57","3121.68","3125.01","-1.78 %","16,124,468,059.50","-"
"NEPSE","2021-08-25","3126.02","3126.02","3068.04","3076.45","-1.76 %","12,092,103,503.50","-"
"NEPSE","2021-08-26","3085.04","3108.06","3069.72","3094.05","0.48 %","13,421,974,791.50","-"
"NEPSE","2021-08-29","3105.75","3116.82","3038.78","3044.87","-1.56 %","15,483,687,944.50","-"
"NEPSE","2021-08-31","3047.26","3047.59","2969.75","2975.84","0.00 %","13,259,696,107.21","-"
"NEPSE","2021-09-01","2977.29","3019.69","2961","2977.02","0.71 %","9,351,799,654.65","-"
"NEPSE","2021-09-02","2976.18","2994.35","2915.98","2926.74","-1.66 %","9,505,970,822.34","-"
"NEPSE","2021-09-05","2928.8","2929.32","2779.03","2818.73","-3.77 %","11,240,391,044.63","-"
"NEPSE","2021-09-06","2816.93","2981.27","2804.53","2980.79","5.73 %","9,826,222,806.90","-"
"NEPSE","2021-09-07","2999.62","3004.23","2912.99","2936.61","-1.52 %","7,495,812,161.43","-"
"NEPSE","2021-09-08","2940.91","2940.91","2873.64","2876.59","-2.09 %","6,646,623,426.91","-"
"NEPSE","2021-09-09","2880.55","2912.38","2865.96","2875.98","0.02 %","7,050,770,070.49","-"
"NEPSE","2021-09-12","2887.5","2947.5","2887.47","2947.42","2.44 %","9,440,035,243.87","-"
"NEPSE","2021-09-13","2962.81","2984.31","2939.79","2947.7","-0.01 %","9,290,554,155.32","-"
"NEPSE","2021-09-14","2950.37","2964.54","2915.62","2929.29","-0.73 %","5,195,295,443.22","-"
"NEPSE","2021-09-15","2933.23","2936.89","2881.53","2889.03","-1.44 %","5,358,097,250.54","-"
"NEPSE","2021-09-16","2889.21","2889.21","2795.24","2812.39","-2.81 %","9,033,900,623.09","-"
